model_pair,size,sum
"[""kimi-k2-0711-preview"", ""llama-4-scout-17b-16e-instruct""]",44,34
"[""kimi-k2-0711-preview"", ""magistral-medium-2506""]",24,17
"[""kimi-k2-0711-preview"", ""minimax-m1""]",29,17
"[""kimi-k2-0711-preview"", ""mistral-medium-2505""]",38,28
"[""kimi-k2-0711-preview"", ""mistral-small-2506""]",31,20
"[""kimi-k2-0711-preview"", ""mistral-small-3.1-24b-instruct-2503""]",40,28
"[""kimi-k2-0711-preview"", ""o3-2025-04-16""]",40,11
"[""kimi-k2-0711-preview"", ""o3-mini""]",39,22
"[""kimi-k2-0711-preview"", ""o4-mini-2025-04-16""]",37,21
"[""kimi-k2-0711-preview"", ""qwen-max-2025-01-25""]",41,25
"[""kimi-k2-0711-preview"", ""qwen3-235b-a22b""]",23,12
"[""kimi-k2-0711-preview"", ""qwen3-235b-a22b-instruct-2507""]",10,7
"[""kimi-k2-0711-preview"", ""qwen3-235b-a22b-no-thinking""]",44,23
"[""kimi-k2-0711-preview"", ""qwen3-30b-a3b""]",45,26
"[""kimi-k2-0711-preview"", ""qwq-32b""]",31,17
"[""llama-3.3-70b-instruct"", ""llama-4-maverick-03-26-experimental""]",51,13
"[""llama-3.3-70b-instruct"", ""llama-4-maverick-17b-128e-instruct""]",62,24
"[""llama-3.3-70b-instruct"", ""llama-4-scout-17b-16e-instruct""]",7,4
"[""llama-3.3-70b-instruct"", ""magistral-medium-2506""]",8,7
"[""llama-3.3-70b-instruct"", ""minimax-m1""]",47,20
"[""llama-3.3-70b-instruct"", ""mistral-medium-2505""]",100,33
"[""llama-3.3-70b-instruct"", ""mistral-small-2506""]",20,11
"[""llama-3.3-70b-instruct"", ""mistral-small-3.1-24b-instruct-2503""]",20,9
"[""llama-3.3-70b-instruct"", ""o3-2025-04-16""]",95,21
"[""llama-3.3-70b-instruct"", ""o3-mini""]",70,24
"[""llama-3.3-70b-instruct"", ""o4-mini-2025-04-16""]",79,19
"[""llama-3.3-70b-instruct"", ""qwen-max-2025-01-25""]",44,6
"[""llama-3.3-70b-instruct"", ""qwen3-235b-a22b""]",33,11
"[""llama-3.3-70b-instruct"", ""qwen3-235b-a22b-instruct-2507""]",6,0
"[""llama-3.3-70b-instruct"", ""qwen3-235b-a22b-no-thinking""]",91,25
"[""llama-3.3-70b-instruct"", ""qwen3-30b-a3b""]",51,20
"[""llama-3.3-70b-instruct"", ""qwq-32b""]",48,10
"[""llama-4-maverick-03-26-experimental"", ""llama-4-maverick-17b-128e-instruct""]",66,51
"[""llama-4-maverick-03-26-experimental"", ""llama-4-scout-17b-16e-instruct""]",29,20
"[""llama-4-maverick-03-26-experimental"", ""magistral-medium-2506""]",32,19
"[""llama-4-maverick-03-26-experimental"", ""minimax-m1""]",56,35
"[""llama-4-maverick-03-26-experimental"", ""mistral-medium-2505""]",121,71
"[""llama-4-maverick-03-26-experimental"", ""mistral-small-2506""]",33,23
"[""llama-4-maverick-03-26-experimental"", ""mistral-small-3.1-24b-instruct-2503""]",37,26
"[""llama-4-maverick-03-26-experimental"", ""o3-2025-04-16""]",97,51
"[""llama-4-maverick-03-26-experimental"", ""o3-mini""]",87,48
"[""llama-4-maverick-03-26-experimental"", ""o4-mini-2025-04-16""]",67,36
"[""llama-4-maverick-03-26-experimental"", ""qwen-max-2025-01-25""]",58,34
"[""llama-4-maverick-03-26-experimental"", ""qwen3-235b-a22b""]",55,36
"[""llama-4-maverick-03-26-experimental"", ""qwen3-235b-a22b-instruct-2507""]",15,9
"[""llama-4-maverick-03-26-experimental"", ""qwen3-235b-a22b-no-thinking""]",142,73
"[""llama-4-maverick-03-26-experimental"", ""qwen3-30b-a3b""]",69,45
"[""llama-4-maverick-03-26-experimental"", ""qwq-32b""]",48,27
"[""llama-4-maverick-17b-128e-instruct"", ""llama-4-scout-17b-16e-instruct""]",32,15
"[""llama-4-maverick-17b-128e-instruct"", ""magistral-medium-2506""]",20,10
"[""llama-4-maverick-17b-128e-instruct"", ""minimax-m1""]",65,30
"[""llama-4-maverick-17b-128e-instruct"", ""mistral-medium-2505""]",107,41
"[""llama-4-maverick-17b-128e-instruct"", ""mistral-small-2506""]",19,9
"[""llama-4-maverick-17b-128e-instruct"", ""mistral-small-3.1-24b-instruct-2503""]",37,24
"[""llama-4-maverick-17b-128e-instruct"", ""o3-2025-04-16""]",133,35
"[""llama-4-maverick-17b-128e-instruct"", ""o3-mini""]",93,40
"[""llama-4-maverick-17b-128e-instruct"", ""o4-mini-2025-04-16""]",93,29
"[""llama-4-maverick-17b-128e-instruct"", ""qwen-max-2025-01-25""]",46,10
"[""llama-4-maverick-17b-128e-instruct"", ""qwen3-235b-a22b""]",53,11
"[""llama-4-maverick-17b-128e-instruct"", ""qwen3-235b-a22b-instruct-2507""]",12,5
"[""llama-4-maverick-17b-128e-instruct"", ""qwen3-235b-a22b-no-thinking""]",76,19
"[""llama-4-maverick-17b-128e-instruct"", ""qwen3-30b-a3b""]",56,26
"[""llama-4-maverick-17b-128e-instruct"", ""qwq-32b""]",61,19
"[""llama-4-scout-17b-16e-instruct"", ""magistral-medium-2506""]",18,16
"[""llama-4-scout-17b-16e-instruct"", ""minimax-m1""]",66,31
"[""llama-4-scout-17b-16e-instruct"", ""mistral-medium-2505""]",72,23
"[""llama-4-scout-17b-16e-instruct"", ""mistral-small-2506""]",32,13
"[""llama-4-scout-17b-16e-instruct"", ""mistral-small-3.1-24b-instruct-2503""]",25,13
"[""llama-4-scout-17b-16e-instruct"", ""o3-2025-04-16""]",78,22
"[""llama-4-scout-17b-16e-instruct"", ""o3-mini""]",39,16
"[""llama-4-scout-17b-16e-instruct"", ""o4-mini-2025-04-16""]",33,6
"[""llama-4-scout-17b-16e-instruct"", ""qwen-max-2025-01-25""]",11,6
"[""llama-4-scout-17b-16e-instruct"", ""qwen3-235b-a22b""]",30,10
"[""llama-4-scout-17b-16e-instruct"", ""qwen3-235b-a22b-instruct-2507""]",4,2
"[""llama-4-scout-17b-16e-instruct"", ""qwen3-235b-a22b-no-thinking""]",72,20
"[""llama-4-scout-17b-16e-instruct"", ""qwen3-30b-a3b""]",25,9
"[""llama-4-scout-17b-16e-instruct"", ""qwq-32b""]",7,3
"[""magistral-medium-2506"", ""minimax-m1""]",53,15
"[""magistral-medium-2506"", ""mistral-medium-2505""]",44,8
"[""magistral-medium-2506"", ""mistral-small-2506""]",26,10
"[""magistral-medium-2506"", ""mistral-small-3.1-24b-instruct-2503""]",27,13
"[""magistral-medium-2506"", ""o3-2025-04-16""]",57,12
"[""magistral-medium-2506"", ""o3-mini""]",31,12
"[""magistral-medium-2506"", ""o4-mini-2025-04-16""]",34,13
"[""magistral-medium-2506"", ""qwen-max-2025-01-25""]",12,1
"[""magistral-medium-2506"", ""qwen3-235b-a22b""]",29,6
"[""magistral-medium-2506"", ""qwen3-235b-a22b-instruct-2507""]",3,0
"[""magistral-medium-2506"", ""qwen3-235b-a22b-no-thinking""]",83,20
"[""magistral-medium-2506"", ""qwen3-30b-a3b""]",33,10
"[""magistral-medium-2506"", ""qwq-32b""]",17,3
"[""minimax-m1"", ""mistral-medium-2505""]",84,41
"[""minimax-m1"", ""mistral-small-2506""]",40,24
"[""minimax-m1"", ""mistral-small-3.1-24b-instruct-2503""]",61,43
"[""minimax-m1"", ""o3-2025-04-16""]",106,39
"[""minimax-m1"", ""o3-mini""]",77,55
"[""minimax-m1"", ""o4-mini-2025-04-16""]",79,27
"[""minimax-m1"", ""qwen-max-2025-01-25""]",45,15
"[""minimax-m1"", ""qwen3-235b-a22b""]",66,28
"[""minimax-m1"", ""qwen3-235b-a22b-instruct-2507""]",4,1
"[""minimax-m1"", ""qwen3-235b-a22b-no-thinking""]",110,48
"[""minimax-m1"", ""qwen3-30b-a3b""]",63,33
"[""minimax-m1"", ""qwq-32b""]",43,21
"[""mistral-medium-2505"", ""mistral-small-2506""]",36,20
"[""mistral-medium-2505"", ""mistral-small-3.1-24b-instruct-2503""]",62,40
"[""mistral-medium-2505"", ""o3-2025-04-16""]",197,75
"[""mistral-medium-2505"", ""o3-mini""]",120,78
"[""mistral-medium-2505"", ""o4-mini-2025-04-16""]",110,48
"[""mistral-medium-2505"", ""qwen-max-2025-01-25""]",107,52
"[""mistral-medium-2505"", ""qwen3-235b-a22b""]",109,51
"[""mistral-medium-2505"", ""qwen3-235b-a22b-instruct-2507""]",4,1
"[""mistral-medium-2505"", ""qwen3-235b-a22b-no-thinking""]",180,84
"[""mistral-medium-2505"", ""qwen3-30b-a3b""]",107,68
"[""mistral-medium-2505"", ""qwq-32b""]",79,49
"[""mistral-small-2506"", ""mistral-small-3.1-24b-instruct-2503""]",21,19
"[""mistral-small-2506"", ""o3-2025-04-16""]",53,19
"[""mistral-small-2506"", ""o3-mini""]",32,19
"[""mistral-small-2506"", ""o4-mini-2025-04-16""]",28,12
"[""mistral-small-2506"", ""qwen-max-2025-01-25""]",14,6
"[""mistral-small-2506"", ""qwen3-235b-a22b""]",22,7
"[""mistral-small-2506"", ""qwen3-235b-a22b-instruct-2507""]",4,0
"[""mistral-small-2506"", ""qwen3-235b-a22b-no-thinking""]",39,15
"[""mistral-small-2506"", ""qwen3-30b-a3b""]",28,13
"[""mistral-small-2506"", ""qwq-32b""]",12,7
"[""mistral-small-3.1-24b-instruct-2503"", ""o3-2025-04-16""]",68,10
"[""mistral-small-3.1-24b-instruct-2503"", ""o3-mini""]",28,11
"[""mistral-small-3.1-24b-instruct-2503"", ""o4-mini-2025-04-16""]",34,11
"[""mistral-small-3.1-24b-instruct-2503"", ""qwen-max-2025-01-25""]",11,5
"[""mistral-small-3.1-24b-instruct-2503"", ""qwen3-235b-a22b""]",29,6
"[""mistral-small-3.1-24b-instruct-2503"", ""qwen3-235b-a22b-instruct-2507""]",11,3
"[""mistral-small-3.1-24b-instruct-2503"", ""qwen3-235b-a22b-no-thinking""]",101,19
"[""mistral-small-3.1-24b-instruct-2503"", ""qwen3-30b-a3b""]",36,11
"[""mistral-small-3.1-24b-instruct-2503"", ""qwq-32b""]",19,5
"[""o3-2025-04-16"", ""o3-mini""]",133,95
"[""o3-2025-04-16"", ""o4-mini-2025-04-16""]",113,67
"[""o3-2025-04-16"", ""qwen-max-2025-01-25""]",100,65
"[""o3-2025-04-16"", ""qwen3-235b-a22b""]",91,65
"[""o3-2025-04-16"", ""qwen3-235b-a22b-instruct-2507""]",14,8
"[""o3-2025-04-16"", ""qwen3-235b-a22b-no-thinking""]",159,88
"[""o3-2025-04-16"", ""qwen3-30b-a3b""]",99,69
"[""o3-2025-04-16"", ""qwq-32b""]",79,55
"[""o3-mini"", ""o4-mini-2025-04-16""]",90,36
"[""o3-mini"", ""qwen-max-2025-01-25""]",57,21
"[""o3-mini"", ""qwen3-235b-a22b""]",55,18
"[""o3-mini"", ""qwen3-235b-a22b-instruct-2507""]",10,6
"[""o3-mini"", ""qwen3-235b-a22b-no-thinking""]",137,47
"[""o3-mini"", ""qwen3-30b-a3b""]",59,26
"[""o3-mini"", ""qwq-32b""]",57,29
"[""o4-mini-2025-04-16"", ""qwen-max-2025-01-25""]",54,30
"[""o4-mini-2025-04-16"", ""qwen3-235b-a22b""]",62,37
"[""o4-mini-2025-04-16"", ""qwen3-235b-a22b-instruct-2507""]",5,2
"[""o4-mini-2025-04-16"", ""qwen3-235b-a22b-no-thinking""]",120,54
"[""o4-mini-2025-04-16"", ""qwen3-30b-a3b""]",75,43
"[""o4-mini-2025-04-16"", ""qwq-32b""]",47,32
"[""qwen-max-2025-01-25"", ""qwen3-235b-a22b""]",40,23
"[""qwen-max-2025-01-25"", ""qwen3-235b-a22b-instruct-2507""]",2,1
"[""qwen-max-2025-01-25"", ""qwen3-235b-a22b-no-thinking""]",63,26
"[""qwen-max-2025-01-25"", ""qwen3-30b-a3b""]",54,38
"[""qwen-max-2025-01-25"", ""qwq-32b""]",47,30
"[""qwen3-235b-a22b"", ""qwen3-235b-a22b-instruct-2507""]",5,3
"[""qwen3-235b-a22b"", ""qwen3-235b-a22b-no-thinking""]",92,42
"[""qwen3-235b-a22b"", ""qwen3-30b-a3b""]",69,42
"[""qwen3-235b-a22b"", ""qwq-32b""]",43,24
"[""qwen3-235b-a22b-instruct-2507"", ""qwen3-235b-a22b-no-thinking""]",8,4
"[""qwen3-235b-a22b-instruct-2507"", ""qwen3-30b-a3b""]",10,4
"[""qwen3-235b-a22b-instruct-2507"", ""qwq-32b""]",9,4
"[""qwen3-235b-a22b-no-thinking"", ""qwen3-30b-a3b""]",119,71
"[""qwen3-235b-a22b-no-thinking"", ""qwq-32b""]",82,52
"[""qwen3-30b-a3b"", ""qwq-32b""]",33,14
